2.3G	Dunki (2023)
5.4G	Dunkirk (2017)
3.3G	Edge Of Tomorrow (2014)
13G	Eega (2012)
11G	Ek Villain (2014)
4.4G	Ek Villain Returns (2022)
6.1G	Endukante... Premanta! (2012)
2.4G	Enola Holmes (2020)
2.9G	Enola Holmes 2 (2022)
1.7G	Escape Room (2019)
2.1G	Escape Room꞉ Tournament of Champions (2021) [THEATRICAL CUT]
3.7G	Eternals (2021)
6.2G	Evaru (2019)
5.5G	Evil Dead Rise (2023)
2.0G	Extra Ordinary Man (2023)
2.8G	Extraction (2020)
3.6G	F2꞉ Fun And Frustration (2019)
3.6G	F3꞉ Fun And Frustration (2022)
2.8G	F9꞉ The Fast Saga (2021)
11G	Fan (2016)
7.6G	Fanaa (2006)
3.6G	Fantastic Four (2005)
3.4G	Fantastic Four (2015)
4.9G	Fantastic Four꞉ Rise of the Silver Surfer (2007)
2.4G	Fast & Furious Presents꞉ Hobbs & Shaw (2019)
2.5G	Fast X (2023)
4.7G	Fidaa (2017)
11G	Final Destination꞉ Bloodlines (2025)
9.9G	First Man (2018)
6.4G	Flight Risk (2025)
6.1G	Fly Me To The Moon (2024)
4.7G	Ford v. Ferrari (2019)
6.0G	Fountain Of Youth (2025)
8.4G	Fractured (2019)
2.5G	Free Guy (2021)
1.5G	Gaami (2024)
10G	Gabbar Is Back (2015)
11G	Gabbar Singh (2012)
4.9G	Gaganam (2011)
3.9G	Game Changer (2025)
1.8G	Gang (2018)
5.1G	Gang Leader (2019)
2.8G	Geetha Govindam (2018)
1.7G	Geostorm (2017)
2.5G	Ghani (2022)
6.6G	Gharshana (2004)
5.3     Ghazi (2017)
2.3G	Ghost Rider (2007) [EXTENDED CUT]
4.8G	Ghost Rider꞉ Spirit of Vengeance (2011)
3.7G	Ghostbusters꞉ Afterlife (2021)
2.2G	Ghostbusters꞉ Frozen Empire (2024)
1.9G	Ghosted (2023)
7.0G	Gifted (2017)
3.2G	GOAT꞉ The Greatest Of All Time (2024)
2.9G	GodFather (2022)
2.2G	Godzilla vs Kong (2021)
2.8G	Godzilla x Kong꞉ The New Empire (2024)
5.1G	Goodachari (2018)
4.3G	Gopala Gopala (2015)
5.5G	Govindudu Andarivadele (2014)
6.5G	Gran Turismo (2023)
6.1G	Green Lantern (2011)
5.2G	Greenland (2020)
2.5G	Guardians of the Galaxy꞉ Vol. 1 (2014)
2.9G	Guardians of the Galaxy꞉ Vol. 2 (2017)
3.0G	Guardians of the Galaxy꞉ Vol. 3 (2023)
6.9G	Guntur Kaaram (2024)
3.5G	Guru (2017)
